transformador_id,lat,lon,region,densidad_poblacional,temperatura_actual,dias_desde_mantenimiento,antiguedad_anios,capacidad_kva,hogares_estimados,carga_estimada_kw,porcentaje_carga,fallas_ultimos_12_meses,riesgo_score_simulado,riesgo_clase,requiere_revision,riesgo_predicho,probabilidad_alto,probabilidad_bajo,probabilidad_medio,probabilidad_maxima
TR-00151,-34.7866599992764,-58.4197432939367,Provincia,7752.0,33.5,177,15,800,120,187.1,0.254,1,0.26,Bajo,0,Bajo,0.0096,0.9212,0.0693,0.9212
TR-00152,-34.7808518388816,-58.2245587075432,Provincia,10088.0,36.0,260,6,315,185,279.1,0.963,0,0.332,Alto,1,Alto,0.9191,0.0179,0.0631,0.9191
TR-00153,-34.8355355930959,-58.456118576692,Provincia,8018.0,31.0,198,11,160,136,154.0,1.046,1,0.347,Medio,1,Medio,0.1033,0.1398,0.7569,0.7569
TR-00154,-34.8358633371647,-58.3924376970584,Provincia,5516.0,30.3,108,4,315,76,91.7,0.316,0,0.174,Bajo,0,Bajo,0.01,0.9231,0.067,0.9231
TR-00155,-34.7519939054558,-58.4629383982695,Provincia,9293.0,34.4,147,18,250,144,165.0,0.717,0,0.259,Bajo,0,Bajo,0.0167,0.7368,0.2464,0.7368
TR-00156,-34.6692351807649,-58.3167204187185,Provincia,7532.0,35.6,282,15,400,98,167.3,0.455,0,0.291,Bajo,0,Bajo,0.0182,0.6284,0.3535,0.6284
TR-00157,-34.792958028969,-58.4146788430393,Provincia,7204.0,34.8,151,2,800,125,152.2,0.207,1,0.213,Bajo,0,Bajo,0.0033,0.8701,0.1266,0.8701
TR-00158,-34.7059013859093,-58.2635125007485,Provincia,11619.0,31.1,370,16,630,180,268.4,0.463,0,0.198,Medio,1,Medio,0.0302,0.1013,0.8685,0.8685
TR-00159,-34.767022280334,-58.2483844905666,Provincia,500.0,35.9,306,14,315,10,12.6,0.043,0,0.252,Medio,1,Medio,0.0214,0.1139,0.8647,0.8647
TR-00160,-34.8352461087993,-58.4852449319838,Provincia,2947.0,31.3,287,18,400,68,95.4,0.259,0,0.29,Bajo,0,Bajo,0.0057,0.9122,0.0821,0.9122
TR-00161,-34.9114344487297,-58.7175555880301,Provincia,3639.0,32.0,258,11,160,69,119.3,0.81,2,0.283,Bajo,0,Bajo,0.0798,0.5729,0.3473,0.5729
TR-00162,-34.8186922435948,-58.2005671053636,Provincia,6110.0,30.7,169,8,400,115,229.5,0.624,0,0.202,Bajo,0,Bajo,0.0322,0.8067,0.1612,0.8067
TR-00163,-34.7786400090489,-58.2261039642699,Provincia,6436.0,37.9,325,9,160,126,178.0,1.209,1,0.433,Alto,1,Alto,0.8807,0.011,0.1084,0.8807
TR-00164,-34.7416457175155,-58.2783378479731,Provincia,2678.0,35.7,167,10,800,73,101.4,0.138,0,0.232,Bajo,0,Bajo,0.0106,0.8911,0.0983,0.8911
TR-00165,-34.8354529298477,-58.3892900153613,Provincia,4245.0,35.6,379,14,630,72,91.7,0.158,1,0.284,Medio,1,Medio,0.0029,0.0936,0.9036,0.9036
TR-00166,-34.9361419852629,-58.6911692652426,Provincia,4617.0,37.7,467,15,250,107,144.4,0.628,0,0.33,Medio,1,Medio,0.2097,0.082,0.7083,0.7083
TR-00167,-34.7274432222631,-58.2182246016792,Provincia,14572.0,42.7,262,13,500,181,313.3,0.681,2,0.428,Medio,1,Medio,0.2316,0.1259,0.6425,0.6425
TR-00168,-34.8198538777319,-58.3702086004427,Provincia,12605.0,28.2,439,11,400,146,229.8,0.624,1,0.322,Medio,1,Medio,0.0138,0.0723,0.9139,0.9139
TR-00169,-34.7605807037303,-58.2762395548797,Provincia,5965.0,31.3,148,12,630,20,21.7,0.037,1,0.157,Bajo,0,Bajo,0.0069,0.9388,0.0542,0.9388
TR-00170,-34.8363343956221,-58.4577177404356,Provincia,6109.0,31.7,307,32,400,100,175.9,0.478,0,0.28,Medio,1,Medio,0.0315,0.093,0.8755,0.8755
TR-00171,-34.7481805669209,-58.2635823400012,Provincia,3752.0,31.0,243,9,250,53,78.7,0.342,0,0.269,Bajo,0,Bajo,0.0101,0.9409,0.049,0.9409
TR-00172,-34.9141329908748,-58.698930153523,Provincia,1476.0,30.3,345,10,500,57,58.1,0.126,0,0.162,Medio,1,Medio,0.0,0.1072,0.8928,0.8928
TR-00173,-34.9218722552451,-58.6704102204923,Provincia,6849.0,32.7,83,37,250,61,86.4,0.376,1,0.314,Bajo,0,Bajo,0.0569,0.7371,0.206,0.7371
TR-00174,-34.70129075249,-58.2735534607438,Provincia,4206.0,29.8,336,17,400,63,70.5,0.192,1,0.281,Medio,1,Medio,0.0078,0.1105,0.8817,0.8817
TR-00175,-34.8334306529153,-58.1875703681037,Provincia,6945.0,34.8,177,4,250,123,191.2,0.831,0,0.306,Medio,1,Medio,0.0564,0.4224,0.5212,0.5212
TR-00176,-34.7480652960965,-58.2699135988108,Provincia,2399.0,33.9,248,20,500,32,36.7,0.08,0,0.191,Bajo,0,Bajo,0.017,0.9159,0.067,0.9159
TR-00177,-34.7971892929045,-58.2121085105926,Provincia,4914.0,35.2,564,8,630,98,127.9,0.221,0,0.28,Medio,1,Medio,0.004,0.0847,0.9113,0.9113
TR-00178,-34.8400503400156,-58.2500903921337,Provincia,7646.0,35.3,312,20,250,106,136.6,0.594,0,0.336,Medio,1,Medio,0.0622,0.0847,0.8531,0.8531
TR-00179,-34.7142500695211,-58.3021525307838,Provincia,8299.0,35.6,294,13,400,127,209.1,0.568,2,0.445,Medio,1,Medio,0.0702,0.2345,0.6953,0.6953
TR-00180,-34.8277158340348,-58.4132386617384,Provincia,8452.0,32.5,283,11,500,145,255.2,0.555,1,0.263,Bajo,0,Bajo,0.0038,0.7857,0.2105,0.7857
TR-00181,-34.7384878653605,-58.28174185467,Provincia,3239.0,40.5,397,25,250,91,170.1,0.74,1,0.462,Medio,1,Medio,0.2078,0.0369,0.7553,0.7553
TR-00182,-34.8120083043476,-58.349187209057,Provincia,9764.0,34.5,350,18,400,148,197.5,0.537,1,0.363,Medio,1,Medio,0.0095,0.0463,0.9442,0.9442
TR-00183,-34.6885190411276,-58.3135561979386,Provincia,4799.0,27.7,284,21,500,66,72.3,0.157,0,0.196,Bajo,0,Bajo,0.0149,0.9004,0.0847,0.9004
TR-00184,-34.8370637752565,-58.3847370836823,Provincia,9099.0,30.5,268,17,315,126,181.6,0.627,1,0.309,Bajo,0,Bajo,0.0281,0.7493,0.2226,0.7493
TR-00185,-34.8357240673213,-58.3994924666778,Provincia,7168.0,28.1,260,11,630,130,121.7,0.21,0,0.123,Bajo,0,Bajo,0.0,0.9754,0.0246,0.9754
TR-00186,-34.9234204854713,-58.5443250291299,Provincia,3071.0,33.8,236,18,400,40,42.2,0.115,0,0.213,Bajo,0,Bajo,0.027,0.8894,0.0836,0.8894
TR-00187,-34.9023497878036,-58.5097438636453,Provincia,6251.0,33.3,132,22,500,99,179.6,0.39,1,0.288,Bajo,0,Bajo,0.0168,0.8151,0.1682,0.8151
TR-00188,-34.6838823282326,-58.3047476468904,Provincia,8296.0,32.2,309,15,250,118,121.5,0.528,1,0.344,Medio,1,Medio,0.0762,0.1031,0.8206,0.8206
TR-00189,-34.8589585056832,-58.4135949316896,Provincia,9039.0,40.1,186,27,160,134,223.1,1.516,1,0.509,Alto,1,Alto,0.8261,0.0242,0.1497,0.8261
TR-00190,-34.6799325708908,-58.3253741491386,CABA,20278.0,36.3,68,20,160,245,479.5,3.257,1,0.609,Alto,1,Alto,0.9727,0.0065,0.0208,0.9727
TR-00191,-34.955132932298,-58.1859250055754,Provincia,11795.0,36.0,361,15,800,123,207.2,0.282,1,0.299,Medio,1,Medio,0.0331,0.0711,0.8957,0.8957
TR-00192,-34.8437364962584,-58.4763281693406,Provincia,10223.0,30.7,239,16,800,164,243.6,0.331,2,0.349,Medio,1,Bajo,0.0642,0.7059,0.2299,0.7059
TR-00193,-34.7107655372104,-58.2981271664419,Provincia,6430.0,30.5,230,15,630,130,193.7,0.334,0,0.207,Bajo,0,Bajo,0.013,0.9466,0.0404,0.9466
TR-00194,-34.8201768281436,-58.2820985395018,Provincia,9450.0,33.8,262,5,250,97,153.6,0.668,0,0.298,Bajo,0,Bajo,0.0184,0.8226,0.159,0.8226
TR-00195,-34.8416706755953,-58.5045862699806,Provincia,13001.0,34.3,210,13,400,193,318.9,0.867,1,0.338,Medio,1,Medio,0.1141,0.313,0.5729,0.5729
TR-00196,-34.8973076286352,-58.2230382586587,Provincia,13081.0,27.8,558,16,630,212,269.3,0.465,1,0.296,Medio,1,Medio,0.0306,0.076,0.8934,0.8934
TR-00197,-34.8288860449952,-58.3862387425033,Provincia,3516.0,33.1,523,11,500,86,104.9,0.228,1,0.263,Medio,1,Medio,0.0143,0.0642,0.9216,0.9216
TR-00198,-34.7431696094003,-58.3251695516739,Provincia,4420.0,33.7,516,16,250,71,87.0,0.378,0,0.239,Medio,1,Medio,0.0313,0.0997,0.869,0.869
TR-00199,-34.7565694354389,-58.2696424019751,Provincia,11655.0,33.0,283,14,800,144,288.9,0.393,0,0.294,Bajo,0,Bajo,0.015,0.7915,0.1935,0.7915
TR-00200,-34.9142200649919,-58.2218865155171,Provincia,4025.0,31.1,180,19,250,79,94.7,0.412,0,0.221,Bajo,0,Bajo,0.0096,0.9102,0.0802,0.9102
TR-00201,-34.9558536353132,-58.6937030585216,Provincia,3232.0,32.0,365,19,250,74,105.4,0.458,0,0.283,Medio,1,Medio,0.0224,0.0795,0.898,0.898
TR-00202,-34.8150007914236,-58.4135782287045,Provincia,5741.0,33.1,211,15,800,100,117.8,0.16,0,0.17,Bajo,0,Bajo,0.0001,0.9583,0.0417,0.9583
TR-00203,-34.8259531642562,-58.4272486032594,Provincia,8461.0,34.0,380,4,400,125,235.6,0.64,0,0.252,Medio,1,Medio,0.0237,0.1009,0.8754,0.8754
TR-00204,-34.7464119307859,-58.2648285878385,Provincia,6893.0,35.6,176,27,315,84,135.6,0.468,2,0.417,Medio,1,Medio,0.0485,0.3431,0.6084,0.6084
TR-00205,-34.6797409582889,-58.3131133908168,Provincia,5248.0,37.2,292,13,400,102,188.1,0.511,0,0.378,Medio,1,Medio,0.0227,0.3718,0.6055,0.6055
TR-00206,-34.8321985448328,-58.4432011332978,Provincia,5177.0,32.8,404,13,1000,102,125.7,0.137,0,0.222,Medio,1,Medio,0.0044,0.0687,0.9269,0.9269
TR-00207,-34.7864825611695,-58.220309640812,Provincia,5063.0,32.2,216,12,250,94,154.9,0.673,0,0.273,Bajo,0,Bajo,0.0079,0.8896,0.1025,0.8896
TR-00208,-34.84515604586,-58.24637810776,Provincia,4561.0,35.1,216,11,500,86,134.7,0.293,1,0.288,Bajo,0,Bajo,0.0067,0.8561,0.1372,0.8561
TR-00209,-34.9195273433014,-58.6341660716775,Provincia,14045.0,35.7,115,25,315,238,366.3,1.264,2,0.444,Medio,1,Alto,0.6414,0.0554,0.3032,0.6414
TR-00210,-34.8031590494733,-58.2996290559665,Provincia,8093.0,32.3,179,24,250,110,188.4,0.819,0,0.357,Medio,1,Bajo,0.0213,0.7159,0.2628,0.7159
TR-00211,-34.806562685081,-58.3471390784166,Provincia,9860.0,36.2,281,17,400,178,343.2,0.933,1,0.38,Medio,1,Medio,0.3858,0.1374,0.4769,0.4769
TR-00212,-34.9174748018221,-58.6948043830931,Provincia,5733.0,36.8,300,13,400,79,109.8,0.298,0,0.334,Medio,1,Medio,0.0205,0.2266,0.7529,0.7529
TR-00213,-34.8048921351598,-58.216032298467,Provincia,6642.0,37.8,320,18,250,136,269.9,1.173,1,0.467,Alto,1,Alto,0.971,0.0013,0.0277,0.971
TR-00214,-34.834323405995,-58.4283563093001,Provincia,5059.0,39.4,92,15,400,120,183.4,0.498,0,0.306,Bajo,0,Bajo,0.0142,0.7181,0.2676,0.7181
TR-00215,-34.8298347999813,-58.3920747843551,Provincia,500.0,30.9,211,13,500,28,31.3,0.068,0,0.217,Bajo,0,Bajo,0.004,0.9381,0.058,0.9381
TR-00216,-34.7915582329916,-58.3109616393617,Provincia,3066.0,33.7,122,16,400,107,147.7,0.401,0,0.241,Bajo,0,Bajo,0.0144,0.9151,0.0704,0.9151
TR-00217,-34.8643360530427,-58.2224626423264,Provincia,1768.0,33.7,274,11,500,62,76.9,0.167,1,0.259,Bajo,0,Bajo,0.019,0.8788,0.1022,0.8788
TR-00218,-34.7784508393096,-58.1716075059796,Provincia,500.0,33.4,104,16,630,13,15.2,0.026,0,0.23,Bajo,0,Bajo,0.0129,0.9045,0.0825,0.9045
TR-00219,-34.8129314629027,-58.3459053692241,Provincia,3614.0,31.6,140,15,400,63,86.9,0.236,0,0.23,Bajo,0,Bajo,0.0074,0.9657,0.027,0.9657
TR-00220,-34.8444170091607,-58.5022424789375,Provincia,11175.0,28.9,348,18,400,190,254.3,0.691,0,0.296,Medio,1,Medio,0.0312,0.0872,0.8816,0.8816
TR-00221,-34.9462677735266,-58.1971635094637,Provincia,7067.0,34.0,189,10,400,136,185.9,0.505,0,0.108,Bajo,0,Bajo,0.0315,0.8473,0.1212,0.8473
TR-00222,-34.811965893162,-58.3441593713386,Provincia,11072.0,31.2,440,19,400,134,202.5,0.55,1,0.344,Medio,1,Medio,0.0128,0.0721,0.9152,0.9152
TR-00223,-34.8441454660908,-58.4947256725245,Provincia,8433.0,34.0,324,8,250,126,174.4,0.758,2,0.377,Medio,1,Medio,0.191,0.0886,0.7204,0.7204
TR-00224,-34.8473606653543,-58.4692669814496,Provincia,9548.0,31.2,217,10,315,148,195.6,0.675,0,0.23,Bajo,0,Bajo,0.0156,0.8639,0.1205,0.8639
TR-00225,-34.9124032878143,-58.6995354960914,Provincia,4497.0,30.2,372,10,250,70,89.0,0.387,1,0.28,Medio,1,Medio,0.0194,0.0979,0.8827,0.8827
TR-00226,-34.6894308894093,-58.3123610285941,Provincia,8772.0,34.4,226,6,315,192,279.7,0.965,1,0.342,Medio,1,Medio,0.1954,0.1474,0.6571,0.6571
TR-00227,-34.8363017977049,-58.2168861418326,Provincia,9386.0,34.2,339,21,1000,147,143.1,0.156,1,0.333,Medio,1,Medio,0.0064,0.0557,0.9379,0.9379
TR-00228,-34.922663071222,-58.6628545306075,Provincia,5470.0,35.6,174,7,400,93,140.8,0.383,3,0.343,Alto,1,Alto,0.8544,0.1023,0.0433,0.8544
TR-00229,-34.6789764955693,-58.3265781575327,CABA,11514.0,41.5,131,9,400,196,352.7,0.958,0,0.428,Alto,1,Alto,0.6169,0.1583,0.2248,0.6169
TR-00230,-34.6780187228682,-58.3111273717702,Provincia,8899.0,34.6,109,23,400,126,230.7,0.627,1,0.348,Medio,1,Medio,0.0228,0.3179,0.6593,0.6593
TR-00231,-34.7765752568667,-58.2274367802426,Provincia,5551.0,35.3,140,10,500,120,144.8,0.315,1,0.286,Bajo,0,Bajo,0.012,0.8145,0.1735,0.8145
TR-00232,-34.8125263124809,-58.4212396388209,Provincia,3832.0,30.3,152,13,400,33,39.3,0.107,1,0.207,Bajo,0,Bajo,0.0076,0.956,0.0365,0.956
TR-00233,-34.6920528786402,-58.2829645046957,Provincia,3648.0,29.6,183,7,400,61,72.2,0.196,0,0.183,Bajo,0,Bajo,0.0392,0.9052,0.0556,0.9052
TR-00234,-34.7406800565798,-58.2762276266262,Provincia,7460.0,38.8,285,20,500,144,282.8,0.615,0,0.403,Medio,1,Medio,0.1093,0.3636,0.5271,0.5271
TR-00235,-34.800254925169,-58.218260110676,Provincia,8181.0,30.7,245,20,160,166,228.3,1.551,1,0.387,Medio,1,Medio,0.1758,0.0991,0.7252,0.7252
TR-00236,-34.9112473455042,-58.7192767859501,Provincia,4822.0,30.4,340,19,400,67,71.2,0.193,1,0.293,Medio,1,Medio,0.007,0.0781,0.9149,0.9149
TR-00237,-34.7459334165526,-58.2713427756121,Provincia,7280.0,33.6,407,18,400,93,125.8,0.342,0,0.297,Medio,1,Medio,0.0101,0.077,0.9129,0.9129
TR-00238,-34.8385249440053,-58.2253136132551,Provincia,8912.0,33.4,103,15,500,149,258.9,0.563,0,0.304,Bajo,0,Bajo,0.0066,0.8759,0.1175,0.8759
TR-00239,-34.8359490705213,-58.3977140180855,Provincia,9055.0,30.8,429,10,1000,121,126.0,0.137,2,0.328,Medio,1,Medio,0.0478,0.0848,0.8674,0.8674
TR-00240,-34.8207272245392,-58.3649127918966,Provincia,11856.0,32.7,223,8,630,163,212.0,0.366,1,0.229,Bajo,0,Bajo,0.0022,0.8482,0.1495,0.8482
TR-00241,-34.7323857099964,-58.4768984548411,Provincia,11031.0,37.6,512,23,400,182,309.4,0.841,2,0.591,Alto,1,Alto,0.7807,0.0149,0.2043,0.7807
TR-00242,-34.8077360964672,-58.4117354367865,Provincia,4196.0,31.1,171,19,250,65,57.2,0.249,0,0.125,Bajo,0,Bajo,0.0033,0.9356,0.061,0.9356
TR-00243,-34.8361240658901,-58.3802079222225,Provincia,12251.0,29.2,87,9,400,126,222.0,0.603,0,0.188,Bajo,0,Bajo,0.0206,0.8589,0.1204,0.8589
TR-00244,-34.8352084136726,-58.3883920744067,Provincia,5607.0,36.7,326,14,630,63,83.5,0.144,1,0.294,Medio,1,Medio,0.0082,0.0546,0.9372,0.9372
TR-00245,-34.7824061120715,-58.3174487167952,Provincia,10335.0,35.3,316,12,800,152,278.7,0.379,2,0.421,Medio,1,Medio,0.0881,0.0645,0.8474,0.8474
TR-00246,-34.7250837537341,-58.2204064670321,Provincia,7404.0,31.7,142,6,630,71,83.5,0.144,0,0.162,Bajo,0,Bajo,0.012,0.9349,0.053,0.9349
TR-00247,-34.9319518978083,-58.6016442782369,Provincia,5964.0,28.6,149,15,250,93,125.4,0.545,1,0.192,Bajo,0,Bajo,0.029,0.8606,0.1104,0.8606
TR-00248,-34.8588909677196,-58.487458374673,Provincia,1777.0,31.3,352,11,500,15,23.2,0.05,1,0.226,Medio,1,Medio,0.0013,0.1082,0.8905,0.8905
TR-00249,-34.8262355762295,-58.2046701745654,Provincia,6685.0,33.5,291,7,800,150,188.7,0.256,0,0.199,Bajo,0,Bajo,0.0053,0.8431,0.1516,0.8431
TR-00250,-34.8163615304053,-58.4214984661872,Provincia,2522.0,37.4,213,4,500,113,174.2,0.379,1,0.29,Bajo,0,Bajo,0.0543,0.6732,0.2725,0.6732
TR-00251,-34.9162018383371,-58.4901572484532,Provincia,10102.0,30.4,305,3,500,123,143.3,0.312,0,0.17,Medio,1,Medio,0.0104,0.1051,0.8845,0.8845
TR-00252,-34.6856497673938,-58.3010747921711,Provincia,11750.0,33.4,278,11,400,175,204.5,0.556,0,0.237,Bajo,0,Bajo,0.0065,0.891,0.1025,0.891
TR-00253,-34.7679344412663,-58.4677666873219,Provincia,4809.0,35.9,157,13,500,62,105.1,0.228,0,0.25,Bajo,0,Bajo,0.0038,0.943,0.0532,0.943
TR-00254,-34.7377607612484,-58.2769016742341,Provincia,8106.0,26.1,364,8,315,118,127.5,0.44,1,0.217,Medio,1,Medio,0.0696,0.1323,0.7981,0.7981
TR-00255,-34.9218687655855,-58.5407417018416,Provincia,5024.0,37.0,332,19,250,134,130.2,0.566,0,0.311,Medio,1,Medio,0.2208,0.1179,0.6613,0.6613
TR-00256,-34.8429301781311,-58.4922893759462,Provincia,5315.0,29.9,248,14,630,81,137.6,0.237,0,0.127,Bajo,0,Bajo,0.0001,0.9759,0.024,0.9759
TR-00257,-34.7754540702524,-58.2395323278331,Provincia,9523.0,34.8,352,18,800,135,188.0,0.255,0,0.296,Medio,1,Medio,0.0085,0.0628,0.9287,0.9287
TR-00258,-34.737025992011,-58.2201284899655,Provincia,7084.0,34.5,541,13,630,90,111.3,0.192,0,0.32,Medio,1,Medio,0.012,0.0748,0.9133,0.9133
TR-00259,-34.7470039978928,-58.264411179444,Provincia,12419.0,37.2,148,8,315,205,431.9,1.49,1,0.441,Alto,1,Alto,0.9769,0.0036,0.0194,0.9769
TR-00260,-34.8012256645614,-58.3039548720102,Provincia,5753.0,35.5,217,15,250,16,26.2,0.114,1,0.298,Bajo,0,Bajo,0.0326,0.725,0.2424,0.725
TR-00261,-34.8114593310208,-58.3561147929776,Provincia,10198.0,26.1,222,5,315,139,197.3,0.681,0,0.207,Bajo,0,Bajo,0.0095,0.8838,0.1068,0.8838
TR-00262,-34.8404224335987,-58.4873679930437,Provincia,7492.0,31.2,348,18,630,117,134.7,0.232,0,0.269,Medio,1,Medio,0.0104,0.0604,0.9292,0.9292
TR-00263,-34.7609206833734,-58.2768670229686,Provincia,9587.0,34.1,182,7,500,127,155.6,0.338,2,0.386,Medio,1,Bajo,0.0704,0.5602,0.3694,0.5602
TR-00264,-34.8011900881714,-58.4110744294567,Provincia,5859.0,33.1,340,20,1000,120,208.2,0.226,1,0.409,Medio,1,Medio,0.0095,0.0607,0.9298,0.9298
TR-00265,-34.7016621150844,-58.4598753444219,CABA,16150.0,36.0,166,12,315,251,398.5,1.375,1,0.34,Alto,1,Alto,0.9644,0.0067,0.029,0.9644
TR-00266,-34.843044328188,-58.4801287042812,Provincia,6854.0,36.2,139,21,400,75,109.3,0.297,0,0.193,Bajo,0,Bajo,0.0077,0.8559,0.1364,0.8559
TR-00267,-34.833645002029,-58.4008598058319,Provincia,4692.0,35.6,254,6,630,137,166.7,0.288,0,0.244,Bajo,0,Bajo,0.0175,0.8141,0.1684,0.8141
TR-00268,-34.8099593927073,-58.4126134424892,Provincia,9186.0,33.0,191,9,315,103,176.4,0.609,0,0.257,Bajo,0,Bajo,0.0206,0.9204,0.059,0.9204
TR-00269,-34.627761068524,-58.3381325209103,CABA,14686.0,28.6,200,17,1000,236,263.4,0.286,1,0.206,Bajo,0,Bajo,0.0257,0.7216,0.2527,0.7216
TR-00270,-34.7888020986575,-58.3129377988885,Provincia,8981.0,32.2,295,22,400,140,190.5,0.518,1,0.34,Medio,1,Medio,0.0058,0.4348,0.5593,0.5593
TR-00271,-34.8312514131796,-58.3827637787504,Provincia,11811.0,35.0,107,26,160,157,225.9,1.535,1,0.422,Medio,1,Medio,0.3201,0.0763,0.6036,0.6036
TR-00272,-34.930824562044,-58.5309258524581,Provincia,11548.0,30.2,201,14,160,156,262.1,1.781,1,0.358,Medio,1,Medio,0.1824,0.1151,0.7026,0.7026
TR-00273,-34.7925105369238,-58.3102447862872,Provincia,6075.0,35.7,254,27,800,101,176.9,0.24,0,0.28,Bajo,0,Bajo,0.0028,0.8107,0.1865,0.8107
TR-00274,-34.8041386825002,-58.2987389668618,Provincia,8319.0,36.6,353,12,500,133,160.4,0.349,0,0.295,Medio,1,Medio,0.0341,0.0706,0.8953,0.8953
TR-00275,-34.8366745605051,-58.4853800408621,Provincia,5329.0,34.1,333,22,630,69,81.0,0.14,1,0.337,Medio,1,Medio,0.0099,0.0621,0.928,0.928
TR-00276,-34.7800093683595,-58.2340420536923,Provincia,7270.0,24.0,163,7,630,110,169.2,0.292,0,0.058,Bajo,0,Bajo,0.0023,0.9578,0.0399,0.9578
TR-00277,-34.686507195039,-58.2977503462732,Provincia,5401.0,29.6,227,17,400,74,107.9,0.293,1,0.218,Bajo,0,Bajo,0.0261,0.8904,0.0835,0.8904
TR-00278,-34.8341170478786,-58.3881987272464,Provincia,12060.0,39.7,302,1,630,142,255.6,0.441,0,0.331,Medio,1,Medio,0.0765,0.1475,0.776,0.776
TR-00279,-34.8182734301075,-58.2681597406839,Provincia,8291.0,32.0,220,6,800,107,119.6,0.162,0,0.169,Bajo,0,Bajo,0.0,0.971,0.029,0.971
TR-00280,-34.7419629298572,-58.2740080159038,Provincia,6546.0,27.4,171,17,250,78,80.5,0.35,0,0.195,Bajo,0,Bajo,0.0057,0.9238,0.0706,0.9238
TR-00281,-34.81968990376,-58.2811762752765,Provincia,10781.0,37.7,241,5,630,147,208.8,0.36,0,0.242,Bajo,0,Bajo,0.0398,0.6624,0.2979,0.6624
TR-00282,-34.6499908930454,-58.32602958205,CABA,8394.0,34.5,271,17,315,140,228.6,0.789,1,0.316,Medio,1,Medio,0.0234,0.2524,0.7242,0.7242
TR-00283,-34.8312453465501,-58.4893105845937,Provincia,1158.0,37.2,156,20,315,46,75.7,0.261,0,0.291,Bajo,0,Bajo,0.0587,0.7476,0.1937,0.7476
TR-00284,-34.824425827641,-58.2041401306922,Provincia,9588.0,34.6,317,10,400,192,245.5,0.667,1,0.349,Medio,1,Medio,0.0614,0.0432,0.8954,0.8954
TR-00285,-34.8924378299634,-58.5064568857448,Provincia,7381.0,35.2,261,7,630,62,104.6,0.18,1,0.239,Bajo,0,Bajo,0.0297,0.714,0.2563,0.714
TR-00286,-34.920321639018,-58.6785186291228,Provincia,7951.0,34.9,323,11,160,135,204.5,1.389,0,0.43,Medio,1,Medio,0.2082,0.046,0.7458,0.7458
TR-00287,-34.7705544215247,-58.2446224164481,Provincia,3221.0,35.9,238,7,400,68,91.6,0.249,0,0.311,Bajo,0,Bajo,0.0291,0.8594,0.1115,0.8594
TR-00288,-34.8356933655707,-58.2292769181712,Provincia,7130.0,41.0,504,13,500,134,228.0,0.496,3,0.503,Alto,1,Alto,0.4848,0.054,0.4612,0.4848
TR-00289,-34.8391760827387,-58.48487452696,Provincia,13211.0,36.8,287,15,250,204,337.5,1.467,1,0.509,Alto,1,Alto,0.9672,0.0062,0.0265,0.9672
TR-00290,-34.8284573617862,-58.3854427675006,Provincia,9673.0,28.6,339,12,630,140,162.4,0.28,1,0.141,Medio,1,Medio,0.0,0.0475,0.9525,0.9525
TR-00291,-34.6547928843279,-58.3207889626903,CABA,13618.0,35.9,236,26,800,195,339.4,0.461,1,0.394,Medio,1,Medio,0.1147,0.2595,0.6259,0.6259
TR-00292,-34.8133093911662,-58.2011961937983,Provincia,5883.0,37.4,226,9,250,80,118.1,0.513,1,0.302,Bajo,0,Bajo,0.0352,0.5415,0.4233,0.5415
TR-00293,-34.8276710265108,-58.4166213519615,Provincia,6016.0,37.5,275,24,250,116,157.2,0.683,0,0.401,Medio,1,Medio,0.0899,0.2346,0.6754,0.6754
TR-00294,-34.8116723508787,-58.4195673892819,Provincia,812.0,32.3,184,7,1000,10,14.0,0.015,0,0.125,Bajo,0,Bajo,0.0177,0.9262,0.0561,0.9262
TR-00295,-34.9023191510538,-58.4575664945664,Provincia,7973.0,37.4,487,15,250,143,223.1,0.97,0,0.415,Alto,1,Alto,0.8032,0.0115,0.1853,0.8032
TR-00296,-34.8514407439143,-58.2206001053751,Provincia,9736.0,36.7,301,22,160,144,251.4,1.708,1,0.476,Alto,1,Alto,0.9713,0.0038,0.0249,0.9713
TR-00297,-34.8905500188766,-58.2235002120639,Provincia,2473.0,41.9,166,22,800,46,46.9,0.064,1,0.358,Medio,1,Bajo,0.0306,0.5877,0.3817,0.5877
TR-00298,-34.8462806158856,-58.4876759959711,Provincia,5216.0,31.3,437,11,800,85,125.8,0.171,0,0.293,Medio,1,Medio,0.0,0.0436,0.9564,0.9564
TR-00299,-34.841837188006,-58.4987333461265,Provincia,3728.0,32.1,231,18,500,69,83.6,0.182,0,0.211,Bajo,0,Bajo,0.0048,0.9204,0.0748,0.9204
TR-00300,-34.7600868871012,-58.2547779825084,Provincia,4304.0,32.7,360,17,400,113,130.5,0.355,0,0.341,Medio,1,Medio,0.0108,0.077,0.9122,0.9122
TR-00301,-34.7248325328652,-58.2863760905592,Provincia,7360.0,32.1,105,10,800,197,278.9,0.379,1,0.211,Bajo,0,Bajo,0.0091,0.8391,0.1518,0.8391
TR-00302,-34.6931845524425,-58.256662611025,Provincia,947.0,30.9,401,18,500,71,82.3,0.179,0,0.288,Medio,1,Medio,0.0078,0.0782,0.914,0.914
TR-00303,-34.8168034338967,-58.3580087965586,Provincia,9043.0,24.9,296,27,500,123,172.0,0.374,0,0.123,Bajo,0,Bajo,0.0,0.7458,0.2542,0.7458
